"word","freq"
"the",482588
"and",244853
"for",111371
"that",107261
"you",97131
"with",72500
"was",63254
"this",55595
"have",53949
"are",49678
"but",49194
"not",41713
"from",38857
"all",34493
"they",33523
"will",32268
"its",31215
"your",30927
"just",30681
"out",30597
"one",30473
"said",30324
"his",30183
"about",29912
"what",28426
"like",27913
"when",26878
"has",26411
"can",26222
"who",25662
"more",24368
"had",23371
"time",23032
"get",22987
"there",22322
"were",21257
"her",20911
"would",20632
"their",20596
"she",20441
"some",20402
"new",19629
"been",19214
"our",18590
"now",18244
"good",18040
"day",17978
"how",17875
"know",16544
"people",16420
"them",16418
"love",16387
"first",14562
"which",14553
"back",14524
"year",14404
"than",14326
"dont",14283
"see",14082
"into",13729
"after",13613
"also",13393
"well",13246
"make",13180
"other",13012
"over",12956
"only",12780
"last",12778
"then",12751
"think",12679
"going",12652
"two",12460
"great",12436
"much",12268
"him",12183
"because",12180
"too",11911
"way",11484
"really",11457
"could",11319
"today",11288
"even",10952
"want",10895
"got",10852
"right",10631
"did",10574
"work",10562
"still",10407
"off",10368
"here",10347
"years",10017
"thanks",9936
"where",9903
"need",9837
"most",9596
"very",9426
"life",9399
"any",9336
"down",9242
"many",9142
"before",9029
"those",9028
"say",8893
"take",8892
"should",8682
"being",8670
"made",8658
"these",8645
"come",8470
"home",8462
"little",8388
"never",8365
"may",8111
"week",8038
"best",8015
"through",7850
"next",7806
"while",7772
"night",7725
"why",7682
"things",7606
"school",7572
"game",7553
"thats",7548
"cant",7537
"lol",7290
"something",7254
"world",6991
"state",6968
"long",6949
"always",6839
"better",6832
"happy",6731
"another",6720
"show",6691
"every",6671
"big",6617
"around",6598
"old",6579
"look",6499
"three",6435
"man",6350
"again",6214
"same",6169
"since",6110
"feel",6010
"city",5925
"few",5885
"such",5788
"sure",5786
"follow",5718
"thing",5713
"use",5693
"hope",5689
"help",5688
"days",5560
"find",5534
"getting",5519
"own",5511
"high",5480
"youre",5445
"let",5439
"ever",5383
"keep",5380
"team",5364
"lot",5347
"says",5327
"place",5279
"didnt",5272
"family",5250
"both",5230
"each",5175
"does",5175
"house",5167
"part",5158
"put",5108
"end",5081
"give",5074
"tonight",5069
"ive",5063
"looking",5049
"free",5011
"until",4976
"play",4962
"thank",4943
"doing",4926
"though",4897
"ill",4836
"away",4807
"book",4723
"might",4722
"everyone",4658
"season",4632
"start",4587
"thought",4573
"used",4570
"morning",4554
"yes",4494
"left",4477
"during",4475
"done",4453
"friends",4441
"god",4416
"went",4365
"please",4353
"fun",4332
"found",4287
"without",4272
"against",4252
"call",4228
"times",4227
"tell",4221
"live",4198
"bad",4182
"hard",4179
"someone",4172
"having",4144
"money",4134
"real",4120
"second",4118
"told",4087
"making",4065
"between",4055
"run",4033
"million",4032
"enough",4018
"yet",4013
"came",3978
"pretty",3956
"try",3927
"already",3924
"wait",3911
"music",3900
"set",3867
"top",3864
"food",3848
"job",3841
"don",3840
"working",3833
"point",3824
"must",3820
"percent",3791
"called",3781
"once",3779
"four",3771
"coming",3769
"story",3754
"read",3742
"nice",3716
"makes",3679
"took",3677
"trying",3675
"actually",3671
"public",3668
"under",3641
"hes",3615
"weekend",3610
"post",3562
"everything",3561
"stop",3546
"county",3541
"far",3525
"win",3510
"twitter",3508
"tomorrow",3498
"nothing",3483
"different",3483
"name",3480
"person",3474
"friday",3461
"open",3460
"police",3451
"soon",3448
"head",3443
"least",3439
"anything",3438
"together",3436
"room",3434
"kids",3423
"maybe",3410
"later",3369
"business",3359
"check",3355
"early",3341
"bit",3334
"doesnt",3333
"full",3324
"started",3316
"ago",3292
"guys",3273
"children",3256
"past",3253
"white",3251
"believe",3246
"kind",3244
"course",3242
"company",3240
"small",3231
"anyone",3176
"change",3172
"month",3153
"talk",3149
"care",3134
"girl",3130
"friend",3119
"wanted",3105
"group",3092
"hey",3086
"less",3077
"water",3056
"five",3053
"including",3042
"party",3034
"myself",3013
"com",3008
"awesome",3005
"able",3003
"news",3003
"ready",2993
"almost",2987
"half",2984
"hit",2976
"minutes",2968
"saw",2960
"case",2952
"black",2942
"watching",2941
"center",2941
"side",2929
"support",2928
"theres",2910
"hours",2907
"watch",2886
"amazing",2881
"probably",2854
"weeks",2850
"months",2844
"others",2840
"heart",2816
"class",2816
"miss",2808
"games",2807
"president",2794
"yeah",2792
"haha",2788
"american",2786
"office",2782
"mind",2780
"seen",2773
"blog",2767
"along",2762
"forward",2761
"law",2747
"true",2746
"line",2736
"asked",2728
"favorite",2725
"cool",2724
"idea",2707
"wish",2702
"face",2699
"hear",2690
"taking",2684
"whole",2681
"young",2679
"students",2675
"mean",2672
"using",2653
"remember",2642
"car",2635
"playing",2618
"comes",2617
"lost",2610
"plan",2606
"whats",2600
"else",2597
"several",2594
"guy",2591
"stay",2587
"become",2580
"following",2577
"often",2575
"saturday",2574
"number",2570
"beautiful",2564
"late",2560
"according",2559
"women",2550
"fact",2529
"however",2524
"national",2523
"local",2514
"movie",2511
"summer",2511
"finally",2508
"area",2505
"government",2499
"lets",2499
"bring",2494
"health",2488
"pay",2487
"close",2463
"looks",2451
"sometimes",2448
"country",2447
"gonna",2447
"red",2441
"hand",2432
"needs",2419
"word",2418
"power",2417
"move",2414
"baby",2405
"hate",2395
"monday",2390
"special",2368
"sunday",2359
"leave",2355
"excited",2353
"add",2353
"instead",2352
"community",2350
"cut",2342
"states",2328
"based",2325
"couple",2321
"running",2319
"men",2315
"program",2311
"important",2307
"phone",2304
"means",2303
"words",2302
"thinking",2300
"street",2300
"court",2295
"series",2291
"share",2281
"list",2279
"saying",2272
"problem",2261
"ask",2261
"won",2256
"stuff",2251
"project",2249
"service",2248
"birthday",2237
"experience",2237
"heard",2233
"park",2233
"isnt",2232
"road",2231
"whether",2229
"song",2228
"behind",2228
"mom",2227
"board",2222
"former",2219
"meet",2215
"light",2213
"hot",2211
"either",2210
"john",2190
"buy",2181
"outside",2180
"talking",2176
"seems",2175
"books",2160
"film",2156
"six",2154
"college",2150
"wont",2149
"theyre",2148
"wrong",2146
"quite",2146
"system",2139
"hour",2128
"april",2127
"gets",2124
"deal",2123
"turn",2123
"third",2122
"beer",2120
"video",2112
"tweet",2108
"event",2106
"body",2099
"social",2098
"question",2098
"enjoy",2093
"feeling",2086
"writing",2084
"knew",2083
"reading",2082
"art",2081
"order",2081
"reason",2077
"future",2076
"short",2069
"sorry",2067
"easy",2060
"girls",2059
"history",2058
"perfect",2046
"university",2045
"woman",2037
"members",2037
"thursday",2035
"information",2032
"york",2020
"given",2012
"rather",2008
"market",2006
"front",2003
"goes",2001
"wasnt",1997
"living",1993
"bill",1993
"sleep",1992
"shit",1990
"child",1981
"moment",1981
"large",1979
"mother",1972
"rest",1971
"sweet",1967
"tuesday",1962
"especially",1957
"chance",1951
"gave",1947
"guess",1944
"parents",1943
"across",1941
"death",1939
"final",1936
"san",1933
"green",1931
"points",1926
"meeting",1924
"fall",1924
"south",1918
"needed",1917
"felt",1900
"among",1900
"media",1899
"played",1886
"coach",1875
"single",1874
"eat",1866
"matter",1857
"fans",1856
"building",1850
"pick",1846
"town",1837
"taken",1830
"district",1827
"break",1822
"walk",1822
"cause",1818
"director",1818
"ones",1818
"lead",1816
"report",1814
"available",1812
"starting",1810
"fire",1809
"decided",1801
"known",1795
"self",1795
"officials",1793
"yourself",1792
"tax",1789
"gone",1787
"store",1785
"field",1783
"learn",1782
"wednesday",1779
"write",1776
"www",1774
"north",1774
"wants",1772
"obama",1772
"tried",1762
"glad",1761
"happen",1755
"spring",1754
"level",1753
"welcome",1750
"players",1749
"online",1748
"march",1743
"visit",1743
"dinner",1740
"drive",1739
"west",1736
"inside",1734
"although",1733
"crazy",1732
"hair",1729
"possible",1727
"federal",1726
"within",1726
"shot",1726
"paper",1717
"rock",1715
"boy",1711
"works",1707
"seeing",1707
"near",1701
"facebook",1700
"card",1698
"department",1697
"understand",1694
"turned",1690
"email",1687
"havent",1687
"didn",1686
"bed",1684
"hell",1683
"schools",1681
"process",1678
"per",1674
"loved",1673
"record",1673
"added",1671
"air",1671
"major",1671
"age",1670
"lives",1668
"sense",1660
"sounds",1659
"son",1653
"eyes",1651
"super",1647
"church",1642
"definitely",1642
"clear",1641
"round",1641
"interesting",1640
"worked",1639
"low",1636
"yesterday",1634
"funny",1632
"worth",1625
"send",1623
"wow",1620
"site",1619
"conference",1618
"spent",1616
"issue",1616
"cost",1615
"energy",1611
"shes",1609
"takes",1606
"space",1606
"human",1605
"lots",1604
"christmas",1600
"wife",1600
"star",1592
"control",1580
"wonderful",1578
"picture",1576
"middle",1574
"happened",1569
"trip",1568
"general",1568
"longer",1564
"fan",1561
"shows",1559
"jobs",1556
"war",1556
"strong",1553
"page",1553
"looked",1550
"questions",1549
"himself",1542
"hold",1541
"waiting",1538
"brown",1537
"huge",1531
"wanna",1531
"recently",1524
"club",1523
"blue",1517
"giving",1515
"likely",1515
"dog",1513
"create",1512
"america",1508
"teams",1507
"finished",1506
"bar",1500
"nearly",1494
"education",1491
"ball",1490
"services",1489
"chicago",1487
"goal",1481
"political",1470
"plans",1469
"ohio",1469
"sent",1467
"recent",1466
"act",1464
"personal",1459
"challenge",1452
"hands",1451
"fine",1446
"father",1445
"career",1443
"continue",1438
"boys",1436
"began",1436
"washington",1432
"damn",1428
"race",1427
"moving",1424
"style",1423
"knows",1420
"answer",1417
"couldnt",1415
"seem",1413
"door",1404
"expected",1398
"cleveland",1397
"step",1396
"decision",1396
"band",1394
"ass",1393
"sign",1393
"okay",1393
"cannot",1387
"above",1386
"issues",1385
"cover",1383
"coffee",1381
"join",1381
"website",1380
"cold",1379
"met",1379
"lunch",1374
"wine",1374
"jesus",1372
"sound",1371
"held",1368
"dead",1367
"include",1364
"price",1364
"vote",1363
"seven",1362
"current",1359
"east",1358
"stand",1357
"luck",1355
"fight",1355
"return",1354
"weather",1353
"simple",1353
"beat",1351
"perhaps",1349
"campaign",1348
"ways",1347
"jersey",1340
"wonder",1339
"usually",1337
"voice",1335
"fuck",1334
"themselves",1334
"action",1333
"player",1332
"success",1329
"companies",1324
"simply",1323
"due",1319
"budget",1319
"james",1317
"drink",1314
"student",1309
"sun",1308
"piece",1308
"united",1308
"fast",1308
"brought",1303
"design",1303
"became",1303
"heat",1302
"dark",1302
"pass",1301
"forget",1298
"june",1298
"exactly",1295
"mark",1295
"research",1292
"feet",1292
"received",1291
"alone",1289
"paid",1289
"oil",1285
"billion",1284
"louis",1282
"gotta",1280
"events",1280
"league",1278
"husband",1278
"youll",1278
"test",1275
"spend",1273
"sales",1273
"led",1271
"earlier",1270
"busy",1266
"non",1265
"daughter",1264
"seriously",1262
"form",1260
"mine",1259
"david",1258
"sad",1257
"save",1257
"wouldnt",1257
"attention",1256
"offer",1256
"staff",1256
"training",1256
"brother",1254
"weve",1253
"paul",1251
"afternoon",1250
"wrote",1250
"fresh",1249
"died",1247
"problems",1247
"entire",1247
"whose",1246
"provide",1245
"key",1243
"missed",1239
"deep",1239
"cup",1238
"date",1237
"loss",1237
"dream",1235
"choice",1232
"totally",1230
"omg",1229
"stories",1228
"followers",1226
"table",1226
"plus",1222
"opening",1217
"bought",1214
"ideas",1213
"term",1213
"football",1211
"followed",1209
"sports",1207
"main",1200
"interest",1200
"example",1198
"whatever",1198
"wall",1195
"track",1189
"note",1189
"moved",1189
"cute",1188
"workers",1188
"bowl",1185
"view",1183
"agree",1182
"member",1181
"congrats",1179
"minute",1175
"text",1173
"california",1173
"focus",1173
"ground",1172
"safe",1169
"serious",1167
"judge",1166
"completely",1164
"quickly",1164
"message",1163
"pictures",1162
"press",1161
"double",1160
"learning",1158
"practice",1157
"medical",1154
"straight",1152
"financial",1152
"ice",1151
"details",1149
"study",1149
"release",1146
"lose",1146
"michael",1144
"sitting",1144
"listening",1143
"difficult",1141
"changes",1138
"private",1137
"upon",1136
"released",1134
"learned",1132
"opportunity",1130
"higher",1130
"complete",1128
"kid",1127
"daily",1127
"finish",1127
"color",1126
"restaurant",1125
"winning",1124
"performance",1124
"photo",1124
"sex",1123
"type",1123
"evening",1123
"written",1123
"chocolate",1120
"spending",1119
"eating",1118
"itself",1118
"hospital",1117
"box",1115
"chicken",1115
"spot",1114
"created",1113
"position",1113
"role",1113
"beach",1112
"security",1111
"sister",1110
"ahead",1110
"changed",1110
"tired",1109
"dad",1109
"die",1107
"character",1107
"quarter",1106
"certain",1106
"extra",1105
"listen",1103
"dance",1102
"tickets",1101
"involved",1100
"hall",1100
"truth",1099
"driving",1098
"chief",1098
"total",1097
"tour",1097
"rights",1097
"industry",1095
"original",1095
"pain",1094
"kept",1094
"comment",1093
"despite",1092
"council",1091
"gift",1087
"eye",1086
"eight",1086
"portland",1085
"mothers",1084
"development",1082
"wear",1077
"arent",1076
"international",1076
"further",1076
"cheese",1073
"relationship",1073
"foot",1072
"biggest",1071
"bank",1071
"rain",1071
"walking",1071
"beginning",1066
"expect",1064
"quality",1064
"helped",1063
"sit",1063
"similar",1063
"data",1062
"force",1061
"figure",1060
"album",1059
"youve",1058
"land",1055
"anyway",1055
"speak",1053
"interview",1052
"sick",1052
"trust",1051
"rate",1050
"stage",1049
"hotel",1048
"account",1047
"doesn",1047
"chris",1046
"interested",1046
"runs",1046
"lord",1045
"floor",1044
"clean",1044
"fell",1044
"begin",1042
"july",1041
"allow",1040
"growing",1039
"radio",1038
"beyond",1037
"photos",1037
"etc",1036
"defense",1035
"shop",1033
"tweets",1032
"increase",1032
"cream",1028
"starts",1028
"amount",1028
"places",1028
"passed",1027
"happens",1025
"feels",1025
"king",1024
"gives",1024
"average",1024
"born",1020
"poor",1019
"choose",1018
"miles",1018
"songs",1016
"planning",1014
"size",1012
"groups",1012
"oregon",1012
"lady",1011
"period",1010
"link",1009
"blood",1009
"review",1008
"build",1008
"employees",1008
"hearing",1007
"situation",1007
"manager",1006
"natural",1006
"earth",1005
"rules",1005
"thoughts",1004
"library",1003
"internet",1003
"river",1003
"sale",1002
"lovely",1002
"taste",1001
"present",1001
"seemed",1000
"proud",997
"hurt",995
"mention",995
"calls",995
"fair",995
"ended",992
"leaving",992
"economic",992
"projects",992
"asking",991
"catch",991
"below",991
"consider",990
"named",989
"mike",988
"allowed",986
"executive",985
"peace",984
"version",984
"republican",984
"senior",983
"certainly",982
"truly",981
"economy",981
"tough",979
"property",979
"scene",979
"contact",978
"title",977
"telling",977
"statement",977
"committee",975
"rose",973
"quick",970
"throughout",970
"winter",968
"texas",967
"sugar",967
"teacher",965
"wearing",964
"via",962
"garden",961
"potential",959
"killed",958
"included",958
"central",956
"result",956
"value",955
"block",954
"regular",954
"mix",954
"safety",954
"worst",953
"article",952
"warm",950
"enjoyed",949
"putting",949
"gas",949
"sort",949
"products",948
"effort",948
"healthy",946
"smith",945
"dude",944
"credit",944
"reported",944
"announced",941
"fucking",940
"sold",940
"hopefully",939
"missing",939
"ride",939
"society",936
"kitchen",935
"travel",934
"union",933
"absolutely",931
"computer",930
"loves",929
"cake",929
"fourth",929
"slow",928
"holiday",926
"results",926
"touch",924
"trade",923
"annual",922
"common",921
"romney",920
"opened",920
"grow",919
"lake",919
"cards",919
"teachers",919
"reach",919
"watched",918
"fit",917
"characters",916
"fear",916
"imagine",913
"realize",912
"families",911
"serve",911
"everybody",909
"draft",907
"includes",905
"calling",904
"currently",902
"mostly",902
"hoping",901
"square",900
"difference",899
"smile",899
"sell",898
"bus",896
"snow",896
"stupid",895
"attorney",895
"glass",894
"closed",893
"caught",891
"meant",891
"throw",890
"fat",889
"immediately",888
"records",888
"popular",887
"built",887
"leaders",887
"ran",886
"prices",886
"election",885
"reality",885
"supposed",885
"science",885
"lucky",884
"rich",883
"anymore",882
"areas",881
"kill",881
"search",881
"risk",879
"stopped",879
"shopping",878
"official",878
"dear",876
"policy",876
"costs",876
"sat",875
"keeping",873
"filled",873
"served",871
"baseball",870
"hello",869
"movies",869
"bitch",868
"nature",867
"los",866
"numbers",863
"americans",862
"winner",861
"nation",861
"technology",859
"weight",859
"breakfast",857
"previous",856
"gold",854
"apparently",854
"legal",854
"bottom",854
"sharing",853
"ability",853
"evidence",853
"base",853
"drop",851
"showed",851
"officer",851
"folks",849
"faith",849
"lower",849
"drug",848
"positive",848
"bag",848
"signed",848
"cancer",848
"yall",847
"tea",845
"grand",844
"liked",843
"session",843
"forever",843
"english",843
"french",843
"fish",842
"growth",841
"traffic",841
"florida",841
"older",841
"author",841
"weird",840
"nine",839
"till",838
"owner",837
"except",836
"mad",835
"award",833
"reports",831
"product",829
"mayor",828
"onto",828
"twice",828
"station",828
"pieces",828
"receive",827
"posted",827
"train",825
"letter",825
"latest",823
"roll",821
"programs",821
"google",820
"january",820
"pop",819
"effect",819
"worse",818
"joe",818
"whos",818
"orange",818
"image",817
"residents",815
"wide",814
"customers",813
"agreed",810
"related",810
"agency",810
"toward",809
"secret",808
"basketball",807
"comments",806
"considered",806
"george",805
"access",805
"bro",804
"cook",803
"crowd",802
"bay",802
"address",802
"lmao",800
"plays",800
"gay",798
"mail",797
"heres",797
"info",797
"wedding",796
"response",796
"lived",795
"marriage",794
"appreciate",794
"dress",793
"aint",791
"content",791
"recipe",790
"stock",789
"cases",789
"brain",787
"tom",787
"justice",786
"leading",785
"unless",785
"raised",785
"cross",784
"parts",783
"officers",783
"downtown",782
"cash",782
"military",782
"count",780
"dreams",780
"walked",780
"finding",780
"easily",779
"overall",777
"successful",777
"exciting",776
"income",776
"normal",776
"tree",775
"marketing",775
"lack",771
"dogs",771
"network",770
"lines",769
"production",769
"crime",769
"doubt",768
"creative",768
"association",767
"picked",767
"museum",767
"spirit",766
"items",766
"modern",766
"clearly",766
"score",764
"notice",764
"homes",764
"headed",763
"language",763
"shooting",763
"november",763
"brand",762
"match",760
"eventually",760
"voters",760
"hill",759
"speaking",759
"soul",759
"none",758
"management",758
"culture",756
"goals",756
"contract",755
"insurance",755
"collection",754
"wild",754
"angeles",753
"apple",752
"addition",752
"valley",752
"cars",752
"seat",750
"arrived",750
"johnson",750
"artist",749
"leader",749
"degree",749
"wasn",749
"particular",745
"pulled",744
"shoes",744
"loving",743
"dry",743
"bout",743
"helping",742
"pizza",742
"worry",742
"austin",742
"required",742
"indeed",741
"senate",741
"butter",741
"stars",740
"steve",739
"standing",738
"realized",738
"festival",738
"robert",737
"easier",736
"broken",736
"respect",736
"battle",736
"terms",735
"reasons",735
"range",734
"drinking",733
"jones",729
"salt",728
"web",728
"conversation",727
"offered",727
"century",726
"broke",724
"island",724
"ten",724
"holding",724
"audience",724
"heavy",724
"charges",723
"taxes",723
"camp",720
"various",719
"heading",718
"losing",718
"spread",718
"decide",717
"showing",717
"smart",717
"london",716
"surprise",714
"shirt",714
"excellent",713
"benefits",713
"advice",712
"turns",712
"failed",711
"charge",711
"app",710
"speed",710
"shoot",710
"doctor",710
"charged",710
"trouble",709
"particularly",709
"corner",708
"names",707
"remain",707
"tells",706
"seconds",706
"plant",706
"hahaha",705
"wake",705
"thomas",705
"classic",704
"offers",704
"surprised",704
"hang",704
"studio",703
"christian",703
"attack",703
"knowing",702
"nobody",702
"planned",702
"talked",702
"magic",702
"novel",702
"obviously",701
"scored",701
"camera",701
"neighborhood",700
"investigation",699
"pre",699
"concert",698
"model",698
"organization",697
"pro",697
"bigger",695
"subject",695
"victory",693
"arizona",691
"writer",690
"adding",690
"rule",690
"avoid",688
"isn",686
"married",685
"nights",684
"commercial",683
"window",683
"avenue",683
"cuts",682
"screen",682
"cast",682
"skills",682
"february",681
"raise",681
"leaves",681
"clothes",681
"competition",680
"christ",680
"individual",680
"remains",680
"scott",680
"jack",679
"anti",679
"whom",679
"administration",679
"businesses",678
"parking",677
"flight",677
"plenty",677
"necessary",676
"nfl",675
"ryan",675
"carry",675
"october",675
"fashion",674
"boston",674
"greatest",674
"largest",674
"dollars",673
"designed",673
"helps",673
"direction",672
"amazon",672
"mouth",671
"host",670
"somebody",669
"todays",669
"laugh",669
"december",669
"episode",669
"stores",669
"hits",668
"push",667
"notes",666
"global",666
"continued",666
"selling",665
"mile",665
"china",665
"moments",664
"physical",664
"grade",663
"pull",663
"trial",663
"artists",662
"reached",662
"opinion",661
"shut",661
"coast",661
"delicious",659
"dropped",659
"inspired",659
"wind",658
"bet",658
"benefit",658
"joy",657
"talent",657
